species,tau,b,mu,tau + seed to 1 cm tau
alsebl,125,0.1998072864,0.00666666666666667,169
beilpe,117,0.0234982766,0.0172413793103448,133
drypst,107,0.015983926,0.00900900900900901,126
eugeoe,52,0.3189959101,0.0357142857142857,81
gar2in,100,0.74604472848,0.0217391304347826,153
guargu,68,0.06315141378,0.0135135135135135,88
heisco,62,0.109624553688,0.010752688172043,82
hirttr,71,0.0904360464,0.0123456790123457,91
tet2pa,109,0.666999522,0.0112359550561798,136
protte,59,0.35691766344,0.0181818181818182,83
quaras,119,0.181762056,0.0126582278481013,139
simaam,38,0.216924225,0.0384615384615385,50
tri2tu,90,0.021972544,0.0294117647058824,112
